Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,6326,3116,999,48602.687500,0.020554
2,1000,0.5,0.2,50.0,1000,6201,3108,998,50743.761719,0.019667
3,1000,0.5,0.2,50.0,1000,6033,3006,998,49348.472656,0.020224
4,1000,0.5,0.2,50.0,1000,6028,3041,999,50323.578125,0.019852
5,1000,0.5,0.2,50.0,1000,8108,3569,977,51075.089844,0.019129
6,1000,0.5,0.2,50.0,1000,249367,7427,432,49777.574219,0.008679
7,1000,0.5,0.2,50.0,1000,6672,3295,999,49598.308594,0.020142
8,1000,0.5,0.2,50.0,1000,267542,8010,420,51295.812500,0.008188
9,1000,0.5,0.2,50.0,1000,369383,8662,192,49336.183594,0.003892
10,1000,0.5,0.2,50.0,1000,153727,6391,630,49482.546875,0.012732
